uid,bucket,slug,new_slug,old_url,new_url,old_title,new_title,old_seo_title,new_seo_title,redirect_from,redirect_to
bltf6e6f0af0665ce7f,Beta,audit-plugin,cli-audit-plugin,/headless-cms/audit-plugin/beta,/headless-cms/cli-audit-plugin,[Contentstack Command-line Interface (CLI)] - Audit Plugin | Beta Commands,[Contentstack Command-line Interface (CLI)] - Audit Plugin | V2.x.x,Audit Plugin | Contentstack,Audit Plugin | V2.x.x | Contentstack,/docs/headless-cms/audit-plugin/beta,/docs/headless-cms/cli-audit-plugin
bltc0036c8ffee6ddd5,Beta,bootstrap-starter-apps,cli-bootstrap-starter-apps,/headless-cms/bootstrap-starter-apps/beta,/headless-cms/cli-bootstrap-starter-apps,[Contentstack Command-line Interface (CLI)] - Bootstrap Starter Apps | Beta Commands,[Contentstack Command-line Interface (CLI)] - Bootstrap Starter Apps | V2.x.x,Bootstrap Starter Apps | Contentstack,Bootstrap Starter Apps | V2.x.x | Contentstack,/docs/headless-cms/bootstrap-starter-apps/beta,/docs/headless-cms/cli-bootstrap-starter-apps
blt85d9deae08de968d,Beta,bulk-operations-in-cli,bulk-operations-in-cli,/headless-cms/bulk-operations-in-cli/beta,/headless-cms/bulk-operations-in-cli,[Contentstack Command-line Interface (CLI)] - Bulk Operations in CLI | Beta,[Contentstack Command-line Interface (CLI)] - Bulk Operations in CLI | V2.x.x,Contentstack CLI Bulk | Contentstack,Contentstack CLI Bulk | V2.x.x | Contentstack,/docs/headless-cms/bulk-operations-in-cli/beta,/docs/headless-cms/bulk-operations-in-cli
blt4617ed0b5e1c23f4,Beta,cli-authentication,cli-authentication,/headless-cms/cli-authentication/beta,/headless-cms/cli-authentication,[Contentstack Command-line Interface (CLI)] - CLI Authentication and Adding Tokens | Beta Commands,[Contentstack Command-line Interface (CLI)] - CLI Authentication and Adding Tokens | V2.x.x,CLI Authentication | Contentstack,CLI Authentication | V2.x.x | Contentstack,/docs/headless-cms/cli-authentication/beta,/docs/headless-cms/cli-authentication
blt8012fa025c919ece,Beta,cli-content-type-plugin,cli-content-type-plugin,/headless-cms/cli-content-type-plugin/beta,/headless-cms/cli-content-type-plugin,[Command Line Interface] - Content Type Plugin | Beta Commands,[Command Line Interface] - Content Type Plugin | V2.x.x,Content Type Plugin | V2 Beta | Contentstack,Content Type Plugin | V2.x.x | Contentstack,/docs/headless-cms/cli-content-type-plugin/beta,/docs/headless-cms/cli-content-type-plugin
blt50c45d9983b508a7,Beta,cli-regex-validate-plugin,cli-regex-validate-plugin,/headless-cms/cli-regex-validate-plugin/beta,/headless-cms/cli-regex-validate-plugin,[Command Line Interface] - Regex Validate Plugin | V2 Beta,[Command Line Interface] - Regex Validate Plugin | V2.x.x,Regex Validate Plugin | V2 Beta | Contentstack,Regex Validate Plugin | V2.x.x | Contentstack,/docs/headless-cms/cli-regex-validate-plugin/beta,/docs/headless-cms/cli-regex-validate-plugin
bltb61fca77fed848a6,Beta,cloning-a-stack,cli-cloning-a-stack,/headless-cms/cloning-a-stack/beta,/headless-cms/cli-cloning-a-stack,[Contentstack Command-line Interface (CLI)] - Cloning a Stack | Beta Commands,[Contentstack Command-line Interface (CLI)] - Cloning a Stack | V2.x.x,Cloning a Stack | Contentstack,Cloning a Stack | V2.x.x | Contentstack,/docs/headless-cms/cloning-a-stack/beta,/docs/headless-cms/cli-cloning-a-stack
blt1f5e428e3a8d3734,Beta,compare-and-merge-branches-using-the-cli,compare-and-merge-branches-using-the-cli,/headless-cms/compare-and-merge-branches-using-the-cli/beta,/headless-cms/compare-and-merge-branches-using-the-cli,[Contentstack Command-line Interface (CLI)] - Compare and Merge Branches Using the CLI | Beta Commands,[Contentstack Command-line Interface (CLI)] - Compare and Merge Branches Using the CLI | V2.x.x,Compare and Merge Branches Using the CLI | Contentstack,Compare and Merge Branches Using the CLI | V2.x.x | Contentstack,/docs/headless-cms/compare-and-merge-branches-using-the-cli/beta,/docs/headless-cms/compare-and-merge-branches-using-the-cli
blt66365ee2f36e0315,Beta,configure-cli-logging-preferences,configure-cli-logging-preferences,/headless-cms/configure-cli-logging-preferences/beta,/headless-cms/configure-cli-logging-preferences,[Contentstack Command-line Interface (CLI)] - Configure CLI Logging Preferences | Beta Commands,[Contentstack Command-line Interface (CLI)] - Configure CLI Logging Preferences | V2.x.x,Configure CLI Logging Preferences | Contentstack,Configure CLI Logging Preferences | V2.x.x | Contentstack,/docs/headless-cms/configure-cli-logging-preferences/beta,/docs/headless-cms/configure-cli-logging-preferences
blt275d7d8eb02308f3,Beta,configure-early-access-program-in-the-cli,configure-early-access-program-in-the-cli,/headless-cms/configure-early-access-program-in-the-cli/beta,/headless-cms/configure-early-access-program-in-the-cli,[Contentstack Command-line Interface (CLI)] - Configure Early Access in the CLI | Beta Commands,[Contentstack Command-line Interface (CLI)] - Configure Early Access in the CLI | V2.x.x,Configure Early Access in the CLI | Contentstack,Configure Early Access in the CLI | V2.x.x | Contentstack,/docs/headless-cms/configure-early-access-program-in-the-cli/beta,/docs/headless-cms/configure-early-access-program-in-the-cli
